hymber,islom
hyna,sjöfågel
håkerknärpa (-o),se åkerknärpa
hålkråka,spillkråka
hålskraka (-e),storskrake
hålskrakstupp,storskrake
hålskräcka,storskrake
hålskräcksfågel,storskrake
hålskrättjo,se holkskräckja
hålskräxa,se holkskräckja
hålskräxa,knipa
hårdvärsfågel,snösparv
hårsnäppa,halvenkel beckasin
håskrake,storskrake
häcksparv,häcksparv
häcksångare,trädgårdssångare
häger,grå häger
grå häger,grå häger
vanlig häger,grå häger
vit häger,vit häger
hägerand,vigg
häjer,grå häger
häjrek,grå häger
hälkrok,spillkråka
hällspik,stare
hälsing,ejderhane juv.
hälsing,vitkindad gås
hälsingbock,ejder
hämplick(or),hämpling
hämpling,hämpling
gulnäbbad hämpling,gulnäbbad hämpling
hämpling,grönfink
vanlig hämpling,hämpling
häramäckra,enkelbeckasin
hären,pärluggla
härfalk,fjällugla
häre,fjällugla
härfågel,härfågel
härkråka,troligen spillkråka
härsparv,bergfink
häruggla,berguv
häre,berguv
häruggla,fjälluggla
häre,fjälluggla
häs(s)eluv,berguv
häs(s)eluv,hornuggla
häs(s)eluv,kattuggla
häst(a)gnägg(j)are,enkelbeckasin
hästgnägg,enkelbeckasin
hästlodand,kricka
hättetärna,fisktärna
höbitare,buskskvätta
höck,se hök
höglandssnäppa,långstjärtad snäppa
högspov,storspov
hök,duvhök
hök,ormvråk
hök,sparvhök m.fl. (flerstädes koll. benämning på hökartade rovfåglar överhuvud liksom fi. haukka)
hökuggla,hökuggla
höltring,roskarl
hönhök,sparvhök
höns,se under bankivahöns
Cochin-China höns,se under bankivahöns
fjösbenta höns,se under bankivahöns
podoliska höns,se under bankivahöns
spanska höns,se under bankivahöns
hönsduva,se under klippduva
hönshök,duvhök
hönsspännare,gök
hönstiuv,fjällvråk
hörknarr,nattskärra
hörsbock,enkelbeckasin
hörsbottjen,enkelbeckasin
hötrick,roskarl
hötring,roskarl
helig ibis,helig ibis
ljus ibis,helig ibis
svart ibis,svart ibis
illgärdsfågel,skadefågel
illvädersfågel,spillkråka
illvärsfågel,grönbena
illvärsfågel,snösparv
imber,islom
immer,islom
inna,orrhöna
irisk,gråsiska
irisk,hämpling
irits,gråsiska
isabellalärka,korttåig lärka
is-adi,se is-åda
isand,alfågel
isand,bergand
isand,gräsand
isand,knipa
isand,storskrake
isbeld,steglitsa
isbjenstuppen,sädesärla
isbädla,steglitsa
isfågel,kungsfiskare
blåryggig isfågel,kungsfiskare
isgjause,vittrut
isgjause,havstrut
isilla,sädesärla
islandsfalk,islandsfalk
islandsknipa,islandsknipa
islandsripa,islandsripa
islom,islom
vitnäbbad islom,vitnäbbad islom
ismås,ismås
ismåsa,vittrut
is-par’t,alfågel
isskräcka,småskrake
isspiena,sädesärla
isspjäla,sädesärla
isspjärna,sädesärla
isstormfågel,stormfågel
iste,tobisgrissla
istrut,havstrut
istärna,tärna
is-åd(a),ejder
isärla,sädesärla
jakobin,se klippduva
jaktfalk,jaktfalk
mindre jaktfalk,pilgrimsfalk
stor jaktfalk,jaktfalk
sydgrönländsk jaktfalk,grönlandsfalk
ta(r)tarisk jaktfalk,ta(r)tarisk jaktfalk
vanlig jaktfalk,jaktfalk
jaktfasan,se under fasan
Jan van Gent,havssula
jaugås,se jugås
jena,orrhöna
jordkrypa,lövsångare
jordpytar(e),lövsångare
jordskracka,småskrake
jordsmula,gärdsmyg
jordsmula,lövsångare
jordsmyga,gärdsmyg
jordsmyga,lövsångare
jordsvala,strandsvala
jordsväla,strandsvala
jordtrast,kinesisk trast
jorduggla,jorduggla
jordäppleskrika,nötskrika
jud(e),fiskgjuse
jugås,gravand
jungfrutrana,jungfrutrana
jut(e),fiskgjuse
jykpigo,se gökpiga
jåulsmulu,se jordsmula
järavärsspärv,snösparv
järnsparv,järnsparv
järntrast,järntrast
järp,se rapphöna
järpa,se rapphöna
järpe (gärspe),rapphöna


järpgubbe (gärspgubbe),järpe
järphöna (gärsphöna),järpe
järpkall,järpe
järpkanke (gärspkanke),järpe
järpkäl(l)ing,järpe
järporre,järporre
järsa,se röjsjärso
kaakkuri,lom
kackelgås,prutgås
kackspik,hackspett
kackur,se kakar
kaffekvarn,kornknarr
kaja,kaja
rysk kaja,rysk kaja
sibirisk kaja,sibirisk kaja
västeuropeisk kaja,västeuropeisk kaja
kaja,kråka
kaja,mås
kaja,sillmås
kaja,tornsvala
kaja,tärna
Kajsa,kråka
kakadora,lockord på papegoja
kakar(e),lom
kakari,lom
kåkkor,lom
kakkur(a),lom
kakkuri,lom
kalanderlärka,kalanderlärka
kal(d)tuta,göktyta
kalenderlärka,kalenderlärka
kalkon,kalkon
mexikansk,se under kalkon
pommersk kalkon,stortrapp
tam kalkon,se kalkon
vild kalkon,se under kalkon
kamgiding,praktejder
kamgiding,salskrake
kamguding(e),praktejder
kamgudingsåd,praktejder
kamgudunge,praktejder
kamåda,praktejder
kanadagås,kanadagås
kanaljefågel (-fugel),kanariefågel
kanariefågel kanariefågel
finsk kanariefågel,grönfink
svensk kanariefågel,grönfink.
vild kanariefågel,vild kanariefågel
kank(e) kångke,tupp (se bankivahöns)
kappherre,brushane
Karin,lockord på tam kråka
karl,sjöfågel
karuda,(skägg)dopping
kasuar,se under struts
kattuggla,kattuggla
kattuggla,fjälluggla
kattuggla,hökuggla
kattuggla,uggla (koll.)
stor kattuggla,fjälluggla o. slaguggla
kaule,alfågel
kaulus,alfågel
kaulus-dacka,alfågel
kaulus-karl,alfågel
kejkråka,kaja
kejsarörn,kejsarörn
Kent-tärna,se kentsk tärna
killbena,mosnäppa
kinagrönfink,se under sibirisk grönfink
kinksparv,gransångare
kiop,spetsstjärtad labb
kirra,sidensvans
kixkaja,fiskmås
kivi,se under struts
kjulbening,»beckasin»,
se enkelbeckasin
Klas,kaja (även lockord)
klera,taltrast
klevitt,kattuggla
klevittuggla,kattuggla
klippduva,klippduva
klipplärka,skärpiplärka
klippseglare,klippseglare
klockarkäring,spillkråka
klubband,knipa
kluckarkärlingi,spillkråka
klump,domherre
klumpalka,tordmule
klunsalka,lunnefågel
klunsalka,tordmule
kluns-Pär,lunnefågel
stor klyyja,gluttsnäppa
klåd(d)ra,taltrast
klåra,taltrast
kläd(d)ra,taltrast
klä-vitt,kattuggla
klävittuggla,kattuggla
klödra,taltrast
klövi,gluttsnäppa
klövja,gluttsnäppa
klövjefågel,rödbena
(k)näkka,se naakka
knark,kornknarr
knarkand,kornknarr
knarksparv,kornknarr
knarp,kornknarr
knarr,kornknarr
knarsk,kornknarr
knejpa,se knipa
knerka,kornknarr
knip,knipa (-o)
knipa (-o),knipa (-o)
isländsk knipa (-o),islandsknipa
knipand,knipa
knipand,kricka
knip-ann,knipa
knip(es)karl,knipa
knipeskå(r)l,knipa
knipgubbe,knipa
knipkalle,knipa
knipkäring,knipa
knipoxe,gammal knipa
knipskrake,knipskrake
knipskräcka,knipskrake.
knip-ånn,se knipand
knispa,morkulla
knortand,knipa
knortand,kricka
knort-ånn,kricka
knubbgås,ejder
knulrygg,ringduva
knulteduva,ringduva
knutsvala,tornsvala
knårtknispa,morkulla
knäckfuggel,buskskvätta
knärk(a),kornknarr
knärpa,se åkerknärpa
knölsvan,knölsvan
kock,orre
kohäger,kohäger
kokhälla,gulärla
kokopiga,se kucku-
koksik(a),se koxika
kokvitt(r)a,sädesärla
kolkaij,stare
kolkaja,stare
kolli,svärta
kolmes,svartmes
kolort,»liten fågel liknande svärtan»
koltrast,koltrast
kommarsparr,gråsiska
kopparsnäppa,myrspov
korabaddjå,dalripa
korf-,se korv
kormoran,storskarv
kornknark,kornknarr
kornknarp(a),kornknarr
kornknarr,kornknarr
kornknerk,kornknarr
kornlärka,kornsparv
kornmatarhök,fjällvråk
kornskrika,nötskrika
kornskrika,kornknarr
kornsnärp,kornknarr
kornsparv,kornsparv
korntjuv,gråsparv
korp,korp
korsduva,se under klippduva
mindre korsnäbb,mindre korsnäbb
norsk korsnäbb,bändelkorsnäbb
större korsnäbb,större korsnäbb
mindre korsnäbb,mindre o.större korsnäbb
korsnäv,mindre korsnäbb
korssparv,mindre korsnäbb
korthackare,mindre korsnäbb
kortrumpa,hussvala
korttåig lärka,se lärka
korvteta,stjärtmes
korvtjet(are),gulsparv
korvtjet(are),nordisk mes
korvtjetare,talgoxe
kotkas,kungsörn
kotkast,havsörn
kovipa,storspov
kovipa,tofsvipa
koxika,lavskrika
koärla,sädesäria
kragbuss,brushane
kragabuss,kragabuss
kragetrapp,kragtrapp
kragtrapp,kragtrapp
asiatisk kragtrapp,kragtrapp
kraka,se kråka
stor krakkspett,spillkråka
svart krakkspett,spillkråka
kramsfågel,björktrast
kramsfågel,sidensvans
kramsfågel,taltrast
kreaturssparv,gråsparv
krecka,kricka
kricka,kricka
gulkindad kricka,gulkindad kricka
krickand,kricka
krickt-and,kricka
krickte,kricka
kriturs-sparv,se kreaturs-
krokodilväktare,krokodilväktare
kronduva,se underklippduva
kroppert kroppduva,se under klippduva
krubbitare,buskskvätta
kruka,ärtsångare
krullhöns,se under bankivahöns
krums,mindre korsnäbb
krums,större korsnäbb
krumsnabel,mindre korsnäbb
